Age,Gender,Height_cm,Weight_kg,BMI,Fitness_Status
60,Male,185,88,25.71,Unfit
30,Male,168,87,30.82,Unfit
56,Female,178,54,17.04,Unfit
24,Male,157,51,20.69,Fit
51,Male,170,49,16.96,Unfit
32,Male,165,71,26.08,Unfit
60,Male,177,99,31.6,Unfit
56,Female,164,59,21.94,Fit
43,Male,173,82,27.4,Unfit
33,Female,163,79,29.73,Unfit
18,Female,175,84,27.43,Unfit
41,Male,189,99,27.71,Unfit
58,Female,160,53,20.7,Fit
35,Female,152,77,33.33,Unfit
23,Female,174,69,22.79,Fit
31,Female,174,67,22.13,Fit
24,Male,161,90,34.72,Unfit
25,Female,181,68,20.76,Fit
29,Male,153,52,22.21,Fit
46,Male,172,80,27.04,Unfit
33,Female,162,96,36.58,Unfit
26,Female,171,54,18.47,Unfit
22,Male,184,52,15.36,Unfit
27,Female,179,99,30.9,Unfit
25,Female,190,75,20.78,Fit
37,Male,179,77,24.03,Fit
29,Female,151,61,26.75,Unfit
46,Male,166,92,33.39,Unfit
51,Female,169,89,31.16,Unfit
60,Female,161,97,37.42,Unfit
44,Female,182,86,25.96,Unfit
60,Male,183,81,24.19,Fit
40,Male,173,69,23.05,Fit
21,Female,188,100,28.29,Unfit
31,Male,156,61,25.07,Unfit
20,Male,159,87,34.41,Unfit
40,Male,154,51,21.5,Fit
57,Female,170,69,23.88,Fit
35,Male,186,92,26.59,Unfit
59,Female,175,94,30.69,Unfit
35,Female,181,76,23.2,Fit
39,Male,156,58,23.83,Fit
54,Male,178,54,17.04,Unfit
52,Male,157,88,35.7,Unfit
29,Male,159,98,38.76,Unfit
52,Female,162,79,30.1,Unfit
51,Male,182,59,17.81,Unfit
24,Female,175,70,22.86,Fit
34,Male,186,86,24.86,Fit
60,Female,167,86,30.84,Unfit
18,Male,159,58,22.94,Fit
20,Female,173,83,27.73,Unfit
35,Female,186,86,24.86,Fit
36,Male,181,88,26.86,Unfit
55,Male,186,94,27.17,Unfit
41,Male,175,76,24.82,Fit
35,Female,190,75,20.78,Fit
53,Female,168,75,26.57,Unfit
40,Male,158,81,32.45,Unfit
22,Male,172,74,25.01,Unfit
31,Female,169,97,33.96,Unfit
56,Male,168,64,22.68,Fit
37,Male,165,73,26.81,Unfit
27,Male,167,82,29.4,Unfit
30,Male,151,85,37.28,Unfit
27,Female,152,83,35.92,Unfit
44,Female,177,45,14.36,Unfit
48,Female,164,76,28.26,Unfit
59,Female,178,93,29.35,Unfit
28,Female,158,89,35.65,Unfit
52,Male,185,83,24.25,Fit
56,Female,155,51,21.23,Fit
43,Female,183,93,27.77,Unfit
52,Male,177,50,15.96,Unfit
20,Male,160,79,30.86,Unfit
35,Female,181,86,26.25,Unfit
57,Male,158,87,34.85,Unfit
39,Female,183,46,13.74,Unfit
28,Female,173,75,25.06,Unfit
31,Male,187,55,15.73,Unfit
18,Male,154,67,28.25,Unfit
28,Female,184,99,29.24,Unfit
31,Male,186,86,24.86,Fit
19,Male,181,81,24.72,Fit
36,Male,184,72,21.27,Fit
37,Female,158,63,25.24,Unfit
36,Male,150,83,36.89,Unfit
54,Female,172,99,33.46,Unfit
24,Male,157,48,19.47,Fit
41,Female,187,71,20.3,Fit
39,Female,150,56,24.89,Fit
51,Female,155,80,33.3,Unfit
54,Male,172,78,26.37,Unfit
