CC,Seats,Observation
261,1,motor cycle
4512,4,truck
220,1,motor cycle
7033,2,truck
438,2,motor cycle
1659,5,car
776,1,motor cycle
1249,5,car
2036,5,car
670,2,motor cycle
851,5,car
2363,5,car
1719,7,car
966,1,motor cycle
2185,7,car
139,1,motor cycle
10508,2,truck
1301,5,car
1843,5,car
5143,3,truck
963,5,car
7351,4,truck
9615,2,truck
489,1,motor cycle
1617,5,car
982,2,motor cycle
301,1,motor cycle
130,1,motor cycle
4832,2,truck
465,2,motor cycle
935,5,car
1018,1,motor cycle
11883,2,truck
865,1,motor cycle
2021,4,car
893,5,car
238,1,motor cycle
1009,4,car
792,1,motor cycle
2110,7,car
1235,5,car
1893,5,car
1247,5,car
571,2,motor cycle
11565,3,truck
2354,5,car
1006,5,car
2196,7,car
7673,4,truck
2383,5,car
1677,7,car
370,2,motor cycle
1369,4,car
1007,2,motor cycle
1152,1,motor cycle
11900,3,truck
6044,2,truck
738,2,motor cycle
3058,3,truck
11666,2,truck
560,1,motor cycle
1134,5,car
7345,4,truck
10973,3,truck
1933,4,car
611,1,motor cycle
10007,2,truck
9054,3,truck
7325,4,truck
1068,1,motor cycle
7905,2,truck
3931,2,truck
843,2,motor cycle
489,2,motor cycle
978,7,car
1085,4,car
1118,5,car
2294,5,car
1930,5,car
1527,5,car
1540,7,car
9570,2,truck
2047,5,car
924,2,motor cycle
639,2,motor cycle
967,2,motor cycle
590,1,motor cycle
9049,3,truck
854,7,car
584,1,motor cycle
1578,4,car
2329,7,car
5697,4,truck
11238,3,truck
670,2,motor cycle
1190,1,motor cycle
8617,3,truck
1903,5,car
210,2,motor cycle
317,2,motor cycle
2374,5,car
2193,4,car
1180,2,motor cycle
1610,5,car
1898,4,car
1369,5,car
10886,3,truck
9658,4,truck
347,1,motor cycle
298,2,motor cycle
1056,2,motor cycle
1133,5,car
1883,5,car
5200,3,truck
1535,5,car
1095,1,motor cycle
507,1,motor cycle
3035,4,truck
10041,3,truck
1961,5,car
2452,4,car
2229,5,car
1588,5,car
2101,5,car
4188,2,truck
7616,3,truck
5532,3,truck
864,2,motor cycle
1690,5,car
794,1,motor cycle
2337,5,car
1193,4,car
6566,2,truck
7272,3,truck
5584,4,truck
551,1,motor cycle
593,2,motor cycle
2448,5,car
8147,3,truck
964,1,motor cycle
2109,4,car
4113,3,truck
1207,7,car
986,4,car
2373,4,car
1073,2,motor cycle
4343,4,truck
10491,3,truck
8138,2,truck
1029,1,motor cycle
1186,1,motor cycle
245,2,motor cycle
3821,4,truck
7533,2,truck
7114,2,truck
2085,5,car
6111,3,truck
8974,2,truck
1024,5,car
2498,7,car
861,4,car
5170,3,truck
300,1,motor cycle
5442,2,truck
609,1,motor cycle
5144,3,truck
4891,2,truck
11288,3,truck
1496,5,car
2020,5,car
711,2,motor cycle
511,2,motor cycle
1269,4,car
4200,3,truck
8862,3,truck
1085,5,car
2325,7,car
1028,5,car
763,2,motor cycle
1094,1,motor cycle
1621,5,car
1092,5,car
1068,2,motor cycle
1834,7,car
362,2,motor cycle
1575,4,car
5546,3,truck
2172,5,car
2422,5,car
1249,5,car
3685,3,truck
4127,3,truck
7088,2,truck
1139,2,motor cycle
5647,4,truck
8794,4,truck
1664,4,car
1159,2,motor cycle
1577,5,car
2237,4,car
