user_id,movie_title,genre,rating,age,recommendation_score,watch_time_minutes
1,Inception,Sci-Fi,4.5,28,0.92,148
2,The Shawshank Redemption,Drama,5.0,35,0.98,142
3,The Dark Knight,Action,4.8,22,0.95,152
4,Pulp Fiction,Crime,4.7,30,0.93,154
5,Forrest Gump,Drama,4.6,25,0.91,142
6,The Matrix,Sci-Fi,4.9,29,0.96,136
7,Goodfellas,Crime,4.4,33,0.89,146
8,The Godfather,Crime,5.0,40,0.99,175
9,Fight Club,Drama,4.7,26,0.94,139
10,The Silence of the Lambs,Thriller,4.8,31,0.95,118
11,Interstellar,Sci-Fi,4.6,27,0.92,169
12,Parasite,Thriller,4.9,24,0.97,132
13,The Departed,Crime,4.5,32,0.90,151
14,Gladiator,Action,4.7,28,0.93,155
15,The Prestige,Mystery,4.8,26,0.95,130
16,Se7en,Thriller,4.6,29,0.91,127
17,The Usual Suspects,Mystery,4.7,34,0.94,106
18,Leon: The Professional,Action,4.5,23,0.89,110
19,Back to the Future,Adventure,4.8,20,0.96,116
20,Whiplash,Drama,4.9,25,0.98,107
21,Avengers: Endgame,Action,4.7,19,0.93,181
22,Joker,Drama,4.6,30,0.91,122
23,The Social Network,Drama,4.5,22,0.89,120
24,La La Land,Musical,4.4,24,0.88,128
25,Get Out,Horror,4.7,26,0.94,104
26,Mad Max: Fury Road,Action,4.8,27,0.96,120
27,Django Unchained,Western,4.6,31,0.92,165
28,The Wolf of Wall Street,Comedy,4.5,28,0.90,180
29,Gone Girl,Thriller,4.7,29,0.94,149
30,The Revenant,Adventure,4.4,32,0.88,156
31,Arrival,Sci-Fi,4.6,26,0.92,116
32,Blade Runner 2049,Sci-Fi,4.5,30,0.90,164
33,Deadpool,Comedy,4.3,21,0.86,108
34,John Wick,Action,4.7,25,0.94,101
35,The Grand Budapest Hotel,Comedy,4.4,27,0.88,99
36,Birdman,Drama,4.5,33,0.90,119
37,The Shape of Water,Romance,4.3,28,0.86,123
38,Three Billboards,Drama,4.6,35,0.92,115
39,Baby Driver,Action,4.4,23,0.88,113
40,Logan,Action,4.7,26,0.94,137
