Accident_ID,Latitude,Longitude,Date,Time,Severity,Road_Type,Weather,Traffic_Density,Vehicles_Involved
"ACC001,40.7128,-74.0060,2024-01-15,08:30,Moderate,Highway,Fog,High,3"
"ACC002,34.0522,-118.2437,2024-01-15,12:15,Minor,Urban,Rain,Moderate,2"
"ACC003,41.8781,-87.6298,2024-01-16,17:45,Severe,Highway,Snow,High,4"
"ACC004,29.7604,-95.3698,2024-01-16,22:20,Minor,Rural,Clear,Low,1"
"ACC005,39.9526,-75.1652,2024-01-17,07:50,Moderate,Urban,Fog,High,3"
"ACC006,33.4484,-112.0740,2024-01-17,14:30,Minor,Highway,Clear,Moderate,2"
"ACC007,32.7157,-117.1611,2024-01-18,09:15,Severe,Urban,Rain,High,5"
"ACC008,37.7749,-122.4194,2024-01-18,18:20,Moderate,Rural,Clear,Low,2"
"ACC009,47.6062,-122.3321,2024-01-19,06:45,Minor,Highway,Fog,Moderate,2"
"ACC010,42.3601,-71.0589,2024-01-19,16:10,Severe,Urban,Snow,High,4"
"ACC011,39.7392,-104.9903,2024-01-20,11:30,Moderate,Highway,Clear,High,3"
"ACC012,38.6270,-90.1994,2024-01-20,19:55,Minor,Rural,Rain,Low,1"
"ACC013,36.1627,-86.7816,2024-01-21,08:20,Moderate,Urban,Fog,Moderate,2"
"ACC014,35.2271,-80.8431,2024-01-21,15:40,Severe,Highway,Storm,High,6"
"ACC015,30.2672,-97.7431,2024-01-22,21:10,Minor,Urban,Clear,Low,2"
"ACC016,25.7617,-80.1918,2024-01-22,13:25,Moderate,Highway,Rain,Moderate,3"
"ACC017,38.9072,-77.0369,2024-01-23,07:30,Severe,Urban,Snow,High,4"
"ACC018,39.9612,-82.9988,2024-01-23,17:50,Minor,Rural,Clear,Low,1"
"ACC019,43.0389,-87.9065,2024-01-24,09:40,Moderate,Highway,Fog,Moderate,2"
"ACC020,44.9778,-93.2650,2024-01-24,14:15,Minor,Urban,Rain,High,3"
"ACC021,33.7490,-84.3880,2024-01-25,18:30,Severe,Highway,Storm,High,5"
"ACC022,41.4993,-81.6944,2024-01-25,22:45,Minor,Rural,Clear,Low,2"
"ACC023,37.4316,-78.6569,2024-01-26,06:15,Moderate,Urban,Fog,Moderate,2"
"ACC024,36.1146,-115.1728,2024-01-26,12:50,Minor,Highway,Clear,High,3"
"ACC025,40.4406,-79.9959,2024-01-27,16:20,Severe,Rural,Rain,Low,4"
"ACC026,43.0731,-89.4012,2024-01-27,20:35,Moderate,Urban,Snow,High,3"
"ACC027,35.9606,-83.9207,2024-01-28,08:55,Minor,Highway,Fog,Moderate,2"
"ACC028,42.6526,-73.7562,2024-01-28,13:10,Moderate,Rural,Clear,Low,1"
"ACC029,38.2527,-85.7585,2024-01-29,07:25,Severe,Urban,Storm,High,5"
"ACC030,41.2033,-73.7286,2024-01-29,19:40,Minor,Highway,Rain,Moderate,2"
"ACC031,37.2083,-93.2923,2024-01-30,11:15,Moderate,Rural,Fog,Low,3"
"ACC032,32.2226,-110.9747,2024-01-30,15:30,Minor,Urban,Clear,High,2"
"ACC033,45.5152,-122.6784,2024-01-31,09:50,Severe,Highway,Snow,High,4"
"ACC034,40.2732,-76.8867,2024-01-31,18:05,Moderate,Rural,Rain,Low,2"
"ACC035,34.7465,-92.2896,2024-02-01,07:40,Minor,Urban,Fog,Moderate,3"
"ACC036,35.9940,-78.8986,2024-02-01,14:55,Moderate,Highway,Clear,High,3"
"ACC037,42.3314,-83.0458,2024-02-02,21:20,Severe,Rural,Storm,Low,5"
"ACC038,36.8529,-75.9780,2024-02-02,10:45,Minor,Urban,Rain,Moderate,2"
"ACC039,43.1610,-77.6109,2024-02-03,16:30,Moderate,Highway,Snow,High,3"
"ACC040,39.1031,-84.5120,2024-02-03,12:15,Minor,Rural,Clear,Low,1"
"ACC041,30.3322,-81.6557,2024-02-04,08:10,Moderate,Urban,Fog,Moderate,2"
"ACC042,38.5767,-92.1735,2024-02-04,17:40,Severe,Highway,Storm,High,4"
"ACC043,41.0914,-74.2641,2024-02-05,19:55,Minor,Rural,Rain,Low,2"
"ACC044,37.5407,-77.4360,2024-02-05,06:30,Moderate,Urban,Clear,High,3"
"ACC045,34.0529,-118.2448,2024-02-06,13:45,Minor,Highway,Fog,Moderate,2"
"ACC046,38.8339,-104.8214,2024-02-06,22:10,Severe,Rural,Snow,Low,5"
"ACC047,41.4995,-81.6955,2024-02-07,09:25,Moderate,Urban,Rain,Moderate,3"
"ACC048,33.5207,-86.8025,2024-02-07,15:40,Minor,Highway,Clear,High,2"
"ACC049,36.0726,-79.7920,2024-02-08,07:55,Moderate,Rural,Fog,Low,2"
"ACC050,40.7129,-74.0061,2024-02-08,18:20,Severe,Urban,Storm,High,4"
"ACC051,42.3600,-71.0588,2024-02-09,11:35,Minor,Highway,Rain,Moderate,3"
"ACC052,39.1900,-94.5786,2024-02-09,20:50,Moderate,Rural,Clear,Low,2"
"ACC053,37.7748,-122.4195,2024-02-10,08:15,Minor,Urban,Fog,High,2"
"ACC054,32.7767,-96.7970,2024-02-10,14:30,Severe,Highway,Storm,High,5"
"ACC055,41.2524,-95.9980,2024-02-11,17:45,Moderate,Rural,Snow,Low,3"
"ACC056,36.1667,-115.1499,2024-02-11,12:10,Minor,Urban,Clear,Moderate,2"
"ACC057,47.6062,-122.3320,2024-02-12,09:30,Moderate,Highway,Rain,High,3"
"ACC058,34.0007,-81.0348,2024-02-12,21:55,Severe,Rural,Fog,Low,4"
"ACC059,40.4405,-79.9958,2024-02-13,07:20,Minor,Urban,Clear,Moderate,2"
"ACC060,29.4241,-98.4936,2024-02-13,16:35,Moderate,Highway,Storm,High,3"
"ACC061,42.6525,-73.7560,2024-02-14,10:45,Minor,Rural,Rain,Low,1"
"ACC062,33.4483,-112.0739,2024-02-14,18:00,Severe,Urban,Snow,High,5"
"ACC063,38.6272,-90.1995,2024-02-15,08:25,Moderate,Highway,Fog,Moderate,2"
"ACC064,35.2270,-80.8430,2024-02-15,14:40,Minor,Rural,Clear,Low,2"
"ACC065,30.2671,-97.7430,2024-02-16,19:55,Moderate,Urban,Rain,High,3"
"ACC066,39.9525,-75.1650,2024-02-16,22:10,Severe,Highway,Storm,High,4"
"ACC067,37.4317,-78.6568,2024-02-17,06:45,Minor,Rural,Fog,Low,2"
"ACC068,38.9070,-77.0368,2024-02-17,13:20,Moderate,Urban,Clear,Moderate,3"
"ACC069,41.8780,-87.6297,2024-02-18,15:30,Minor,Highway,Rain,High,2"
"ACC070,33.7492,-84.3881,2024-02-18,20:15,Severe,Rural,Snow,Low,5"
"ACC071,43.0388,-87.9064,2024-02-19,09:40,Moderate,Urban,Fog,Moderate,2"
"ACC072,44.9779,-93.2651,2024-02-19,17:25,Minor,Highway,Clear,High,3"
"ACC073,41.4994,-81.6945,2024-02-20,11:50,Moderate,Rural,Rain,Low,2"
"ACC074,36.1147,-115.1729,2024-02-20,14:05,Severe,Urban,Storm,High,4"
"ACC075,40.4407,-79.9960,2024-02-21,08:30,Minor,Highway,Fog,Moderate,2"
"ACC076,43.0730,-89.4010,2024-02-21,19:45,Moderate,Rural,Clear,Low,3"
"ACC077,35.9605,-83.9206,2024-02-22,12:20,Minor,Urban,Rain,High,2"
"ACC078,42.6528,-73.7564,2024-02-22,16:35,Severe,Highway,Snow,High,5"
"ACC079,38.2526,-85.7584,2024-02-23,07:10,Moderate,Rural,Fog,Low,2"
"ACC080,41.2032,-73.7285,2024-02-23,21:25,Minor,Urban,Clear,Moderate,3"
"ACC081,37.2082,-93.2922,2024-02-24,10:40,Moderate,Highway,Rain,High,3"
"ACC082,32.2225,-110.9746,2024-02-24,18:55,Severe,Rural,Storm,Low,4"
"ACC083,45.5150,-122.6783,2024-02-25,09:15,Minor,Urban,Fog,Moderate,2"
"ACC084,40.2731,-76.8866,2024-02-25,15:30,Moderate,Highway,Clear,High,3"
"ACC085,34.7464,-92.2895,2024-02-26,20:45,Minor,Rural,Rain,Low,1"
"ACC086,35.9942,-78.8987,2024-02-26,12:10,Severe,Urban,Snow,High,5"
"ACC087,42.3313,-83.0457,2024-02-27,08:25,Moderate,Highway,Fog,Moderate,2"
"ACC088,36.8528,-75.9781,2024-02-27,17:40,Minor,Rural,Clear,Low,2"
"ACC089,43.1612,-77.6110,2024-02-28,14:55,Moderate,Urban,Rain,High,3"
"ACC090,39.1030,-84.5119,2024-02-28,19:10,Severe,Highway,Storm,High,4"
"ACC091,30.3321,-81.6556,2024-02-29,07:35,Minor,Rural,Fog,Low,1"
"ACC092,38.5766,-92.1734,2024-02-29,16:50,Moderate,Urban,Clear,Moderate,2"
"ACC093,41.0913,-74.2640,2024-03-01,11:25,Minor,Highway,Rain,High,3"
"ACC094,37.5406,-77.4359,2024-03-01,20:40,Severe,Rural,Snow,Low,4"
"ACC095,34.0528,-118.2447,2024-03-02,09:05,Moderate,Urban,Fog,Moderate,2"
"ACC096,38.8338,-104.8213,2024-03-02,15:20,Minor,Highway,Clear,High,2"
"ACC097,41.4996,-81.6956,2024-03-03,18:35,Moderate,Rural,Storm,Low,3"
"ACC098,33.5208,-86.8026,2024-03-03,22:50,Severe,Urban,Rain,High,5"
"ACC099,36.0725,-79.7919,2024-03-04,07:15,Minor,Highway,Fog,Moderate,2"
"ACC100,40.7130,-74.0062,2024-03-04,13:40,Moderate,Rural,Clear,Low,2"
